"SQL Editor","Show server output","Ctrl+Shift+O","SQL Script Editor Context","org.jkiss.dbeaver.ui.editors.sql.show.output"
"SQL Editor","Execute SQL script","Alt+X","SQL Script Editor Context","org.jkiss.dbeaver.ui.editors.sql.run.script"
"Result Set","Activate filter/data editor","Ctrl+Alt+Shift+T","Results viewer context","org.jkiss.dbeaver.core.resultset.focus.filter"
"SQL Editor","Set connection from navigator","Ctrl+Shift+.","Database navigator context","org.jkiss.dbeaver.ui.editors.sql.sync.connection"
"Navigate","Next Edit Location","Ctrl+Alt+Right","In Windows","org.eclipse.ui.edit.text.gotoNextEditPosition"
"Connection","Open Database Object ...","Ctrl+Shift+D","In Windows","org.jkiss.dbeaver.core.object.goto"
"Text Editing","Show Tooltip Description","F2","Editing Text","org.eclipse.ui.edit.text.showInformation"
"File","Open File...","Ctrl+O","In Windows","org.eclipse.ui.edit.text.openLocalFile"
"SQL Editor","Next query","Alt+Down","SQL Script Editor Context","org.jkiss.dbeaver.ui.editors.sql.query.next"
"Edit","Incremental Find","Ctrl+J","Editing Text","org.eclipse.ui.edit.findIncremental"
"Result Set","Toggle results sort order","Ctrl+2","Results viewer context","org.jkiss.dbeaver.core.resultset.toggleOrder"
"Text Editing","Scroll Line Down","Ctrl+Down","Editing Text","org.eclipse.ui.edit.text.scroll.lineDown"
"Connection","Open SQL script","F3","DBeaver Perspective","org.jkiss.dbeaver.core.sql.editor.open"
"Edit","Paste","Ctrl+V","In Dialogs and Windows","org.eclipse.ui.edit.paste"
"Window","Show Contributing Plug-in","Alt+Shift+F3","In Dialogs and Windows","org.eclipse.ui.window.spy"
"File","Properties","Alt+Enter","In Windows","org.eclipse.ui.file.properties"
"Result Set","Reject changes","Ctrl+R","Results viewer context","org.jkiss.dbeaver.core.resultset.rejectChanges"
"Oracle","Compile","Ctrl+F9","In Windows","org.jkiss.dbeaver.ext.oracle.code.compile"
"Text Editing","Delete to End of Line","Ctrl+Shift+Delete","Editing Text","org.eclipse.ui.edit.text.delete.line.to.end"
"Edit","Quick Diff Toggle","Ctrl+Shift+Q","Editing Text","org.eclipse.quickdiff.toggle"
"ANSI Support Commands","Copy Text Without ANSI Escapes","Ctrl+Insert","In Console View","AnsiConsole.command.copy_without_escapes"
"File","Refresh","F5","In Windows","org.eclipse.ui.file.refresh"
"Edit","Undo","Ctrl+Z","In Dialogs and Windows","org.eclipse.ui.edit.undo"
"Result Set","Navigate link","Alt+Space","Results viewer context","org.jkiss.dbeaver.core.resultset.navigateLink"
"Edit","Find and Replace","Ctrl+F","In Windows","org.eclipse.ui.edit.findReplace"
"Window","Previous Perspective","Ctrl+Shift+F8","In Windows","org.eclipse.ui.window.previousPerspective"
"Edit","Toggle Word Wrap","Alt+Shift+Y","Editing Text","org.eclipse.ui.edit.text.toggleWordWrap"
"Connection","Set active connection","Ctrl+9","In Windows","org.jkiss.dbeaver.ui.tools.select.connection"
"Connection","Edit Object","F4","Database navigator context","org.jkiss.dbeaver.core.object.open"
"Window","Find Actions","Ctrl+3","In Windows","org.eclipse.ui.window.quickAccess"
"Navigate","Backward History","Alt+Left","In Windows","org.eclipse.ui.navigate.backwardHistory"
"Edit","Copy","Ctrl+C","In Dialogs and Windows","org.eclipse.ui.edit.copy"
"SQL Editor","Maximize results panel","Ctrl+Shift+T","SQL Script Editor Context","org.jkiss.dbeaver.ui.editors.sql.maximize.result.panel"
"Navigate","Collapse All","Ctrl+Shift+Numpad_Divide","In Windows","org.eclipse.ui.navigate.collapseAll"
"Window","Show Key Assist","Ctrl+Shift+L","In Dialogs and Windows","org.eclipse.ui.window.showKeyAssist"
"Window","Show System Menu","Alt+-","In Windows","org.eclipse.ui.window.showSystemMenu"
"Edit","Word Completion","Alt+/","Editing Text","org.eclipse.ui.edit.text.hippieCompletion"
"Connection","Generate UUID","Ctrl+Alt+Shift+U","In Windows","org.jkiss.dbeaver.core.generate.uuid"
"Navigate","Previous Edit Location","Ctrl+Q","In Windows","org.eclipse.ui.edit.text.gotoLastEditPosition"
"Text Editing","To Upper Case","Ctrl+Shift+X","Editing Text","org.eclipse.ui.edit.text.upperCase"
"Result Set","Fetch All Data","Ctrl+Shift+=","Results viewer context","org.jkiss.dbeaver.core.resultset.fetch.all"
"Navigate","Previous Tab","Ctrl+PageUp","In Dialogs and Windows","org.eclipse.ui.navigate.previousTab"
"Edit","Context Information","Ctrl+Shift+Space","In Dialogs and Windows","org.eclipse.ui.edit.text.contentAssist.contextInformation"
"SQL Editor","Explain Execution Plan","Ctrl+Shift+E","SQL Script Editor Context","org.jkiss.dbeaver.ui.editors.sql.run.explain"
"SQL Editor","Evaluate SQL expression","Ctrl+Alt+'","SQL Script Editor Context","org.jkiss.dbeaver.ui.editors.sql.run.expression"
"Navigate","Next Sub-Tab","Alt+PageDown","In Dialogs and Windows","org.eclipse.ui.navigate.nextSubTab"
"SQL Editor","Toggle results panel","Ctrl+T","SQL Script Editor Context","org.jkiss.dbeaver.ui.editors.sql.toggle.result.panel"
"Search","Find Text in Workspace","Ctrl+Alt+G","In Windows","org.eclipse.search.ui.performTextSearchWorkspace"
"Result Set","References","Ctrl+Shift+1","Results viewer context","org.jkiss.dbeaver.core.resultset.referencesMenu"
"Connection","Open Dashboard","Ctrl+Alt+Shift+B","DBeaver Perspective","org.jkiss.dbeaver.ui.dashboard.open"
"Text Editing","Line End","End","Editing Text","org.eclipse.ui.edit.text.goto.lineEnd"
"SQL Editor","Execute SQL Script natively","Alt+N","SQL Script Editor Context","org.jkiss.dbeaver.core.sql.script.run.scriptNative"
"Text Editing","Multi caret up","Ctrl+Alt+Up","Editing Text","org.eclipse.ui.edit.text.select.multiCaretUp"
"Window","Show View Menu","Ctrl+F10","In Dialogs and Windows","org.eclipse.ui.window.showViewMenu"
"Text Editing","Toggle Overwrite","Insert","Editing Text","org.eclipse.ui.edit.text.toggleOverwrite"
"Edit","Content Assist","Ctrl+Space","In Dialogs and Windows","org.eclipse.ui.edit.text.contentAssist.proposals"
"Project","Build All","Ctrl+B","In Windows","org.eclipse.ui.project.buildAll"
"Edit","Select All","Ctrl+A","In Dialogs and Windows","org.eclipse.ui.edit.selectAll"
"Text Editing","Copy Lines","Alt+Shift+Down","Editing Text","org.eclipse.ui.edit.text.copyLineDown"
"SQL Editor","Toggle Block Comment","Ctrl+Shift+/","SQL Editor Context","org.jkiss.dbeaver.ui.editors.sql.comment.multi"
"Database Navigator","View Diagram","Ctrl+Shift+Enter","In Windows","org.jkiss.dbeaver.erd.diagram.view"
"Text Editing","Next Word","Ctrl+Right","Editing Text","org.eclipse.ui.edit.text.goto.wordNext"
"Window","Toggle Full Screen","Alt+F11","In Dialogs and Windows","org.eclipse.ui.window.fullscreenmode"
"Navigate","Previous Page","Alt+Shift+F7","In Windows","org.eclipse.ui.part.previousPage"
"Result Set","Previous row","Ctrl+Alt+Left","Results viewer context","org.jkiss.dbeaver.core.resultset.row.previous"
"Entity Properties","Next Entity Properties tab","Alt+Shift+Down","In Windows","org.jkiss.dbeaver.entity.propsTab.nextPage"
"Result Set","Edit cell","Shift+Enter","Results viewer context","org.jkiss.dbeaver.core.resultset.row.edit"
"Connection","Open SQL script","Ctrl+[","DBeaver Perspective","org.jkiss.dbeaver.core.sql.editor.open"
"SQL Editor","Close","Ctrl+Shift+\","SQL Script Editor Context","org.jkiss.dbeaver.ui.editors.sql.close.tab"
"Utility","Advanced Copy with last settings","Ctrl+Alt+Shift+C","In Windows","org.jkiss.dbeaver.core.edit.copy.special.with.last.settings"
"Result Set","Toggle result panels","Ctrl+7","Results viewer context","org.jkiss.dbeaver.core.resultset.grid.togglePreview"
"Result Set","Copy from row above","Ctrl+D","Results viewer context","org.jkiss.dbeaver.core.resultset.row.copy.from.above"
"Result Set","Fetch Next Page","Ctrl+Alt+N","Results viewer context","org.jkiss.dbeaver.core.resultset.fetch.page"
"Text Editing","Delete Line","Ctrl+Shift+K","Editing Text","org.eclipse.ui.edit.text.delete.line"
"Text Editing","To Lower Case","Ctrl+Shift+Y","Editing Text","org.eclipse.ui.edit.text.lowerCase"
"Edit","Redo","Ctrl+Y","In Dialogs and Windows","org.eclipse.ui.edit.redo"
"Navigate","Next","Ctrl+.","In Windows","org.eclipse.ui.navigate.next"
"Edit","Find Next","Ctrl+K","In Windows","org.eclipse.ui.edit.findNext"
"Quick Search","Quick Search","Ctrl+Alt+Shift+L","In Windows","org.eclipse.text.quicksearch.commands.quicksearchCommand"
"Result Set","Next row","Ctrl+Alt+Right","Results viewer context","org.jkiss.dbeaver.core.resultset.row.next"
"Text Editing","End multi-selection","Esc","Editing Text","org.eclipse.ui.edit.text.select.stopMultiSelection"
"Connection","Last edited SQL script","Ctrl+Enter","Database navigator context","org.jkiss.dbeaver.core.sql.editor.recent"
"SQL Editor","Execute SQL query","Ctrl+Enter","SQL Script Editor Context","org.jkiss.dbeaver.ui.editors.sql.run.statement"
"Edit","Quick Fix","Ctrl+1","In Dialogs and Windows","org.eclipse.jdt.ui.edit.text.java.correction.assist.proposals"
"Edit","Toggle Insert Mode","Ctrl+Shift+Insert","Editing Text","org.eclipse.ui.edit.text.toggleInsertMode"
"Database Navigator","New Database &Connection","Ctrl+Shift+N","In Windows","org.jkiss.dbeaver.core.new.connection"
"Window","Toggle Split Editor (Horizontal)","Ctrl+_","In Windows","org.eclipse.ui.window.splitEditor"
"Text Editing","Expand","Ctrl+Numpad_Add","Editing Text","org.eclipse.ui.edit.text.folding.expand"
"View","Zoom Out","Ctrl+-","In Windows","org.eclipse.gef.zoom_out"
"Navigate","Go to Line","Ctrl+L","Editing Text","org.eclipse.ui.edit.text.goto.line"
"Edit","Copy","Ctrl+Insert","In Dialogs and Windows","org.eclipse.ui.edit.copy"
"Text Editing","Zoom Out","Ctrl+-","Editing Text","org.eclipse.ui.edit.text.zoomOut"
"Window","Switch to Editor","Ctrl+Shift+E","In Windows","org.eclipse.ui.window.switchToEditor"
"Text Editing","Move Lines Up","Alt+Up","SQL Editor Context","org.eclipse.ui.edit.text.moveLineUp"
"Navigate","Previous Edit Location","Ctrl+Alt+Left","In Windows","org.eclipse.ui.edit.text.gotoLastEditPosition"
"Result Set","Filter menu","F11","Results viewer context","org.jkiss.dbeaver.core.resultset.filterMenu"
"Result Set","Set to default","Ctrl+Backspace","Results viewer context","org.jkiss.dbeaver.core.resultset.cell.setDefault"
"Window","Toggle Split Editor (Vertical)","Ctrl+{","In Windows","org.eclipse.ui.window.splitEditor"
"Result Set","Apply changes","Ctrl+S","Results viewer context","org.jkiss.dbeaver.core.resultset.applyChanges"
"Connection","Select active schema","Ctrl+0","In Windows","org.jkiss.dbeaver.ui.tools.select.schema"
"Result Set","Delete current row","Alt+Delete","Results viewer context","org.jkiss.dbeaver.core.resultset.row.delete"
"Edit","Cut","Shift+Delete","In Dialogs and Windows","org.eclipse.ui.edit.cut"
"Window","Show Ruler Context Menu","Ctrl+F10","Editing Text","org.eclipse.ui.edit.text.showRulerContextMenu"
"SQL Editor","Previous query","Alt+Up","SQL Script Editor Context","org.jkiss.dbeaver.ui.editors.sql.query.prev"
"Search","Open Search Dialog","Ctrl+H","In Windows","org.eclipse.search.ui.openSearchDialog"
"SQL Editor","Execute SQL script from the position","Alt+P","SQL Script Editor Context","org.jkiss.dbeaver.ui.editors.sql.run.scriptFromPosition"
"SQL Editor","Go to matching bracket","Ctrl+Shift+[","SQL Editor Context","org.jkiss.dbeaver.ui.editors.sql.gotoMatchingBracket"
"Database Navigator","Link with editor","Ctrl+Shift+,","In Windows","org.jkiss.dbeaver.core.navigator.linkeditor"
"Text Editing","Insert Line Below Current Line","Shift+Enter","Editing Text","org.eclipse.ui.edit.text.smartEnter"
"File","Save All","Ctrl+Shift+S","In Windows","org.eclipse.ui.file.saveAll"
"Result Set","Last row","Ctrl+Alt+Shift+Right","Results viewer context","org.jkiss.dbeaver.core.resultset.row.last"
"Views","Show View (Problems)","Alt+Shift+Q, X","In Windows","org.eclipse.ui.views.showView"
"Result Set","Add row","Alt+Insert","Results viewer context","org.jkiss.dbeaver.core.resultset.row.add"
"Navigate","Next Page","Alt+F7","In Windows","org.eclipse.ui.part.nextPage"
"Text Editing","Line Start","Home","Editing Text","org.eclipse.ui.edit.text.goto.lineStart"
"Views","Show View","Alt+Shift+Q, Q","In Windows","org.eclipse.ui.views.showView"
"Text Editing","Move Lines Up","Alt+Up","Editing Text","org.eclipse.ui.edit.text.moveLineUp"
"Navigate","Open Resource","Ctrl+Shift+R","In Windows","org.eclipse.ui.navigate.openResource"
"Result Set","Duplicate row","Ctrl+Alt+Insert","Results viewer context","org.jkiss.dbeaver.core.resultset.row.copy"
"Edit","Delete","Delete","In Windows","org.eclipse.ui.edit.delete"
"Result Set","Apply cell changes","Ctrl+Alt+Shift+Enter","Results edit context","org.jkiss.dbeaver.core.resultset.cell.save"
"Views","Show View (Console)","Alt+Shift+Q, C","In Windows","org.eclipse.ui.views.showView"
"SQL Editor","Select row count","Ctrl+Alt+Shift+C","SQL Script Editor Context","org.jkiss.dbeaver.ui.editors.sql.run.count"
"Result Set","Switch presentation","Ctrl+`","Results viewer context","org.jkiss.dbeaver.core.resultset.switchPresentation"
"Connection","Create Object","Alt+Insert","Database navigator context","org.jkiss.dbeaver.core.object.create"
"File","Save","Ctrl+S","In Windows","org.eclipse.ui.file.save"
"Edit","Toggle Block Selection","Alt+Shift+A","Editing Text","org.eclipse.ui.edit.text.toggleBlockSelectionMode"
"Connection","Rollback","Ctrl+Alt+Shift+R","In Windows","org.jkiss.dbeaver.core.rollback"
"Window","Activate Editor","F12","In Windows","org.eclipse.ui.window.activateEditor"
"File","Close","Ctrl+W","In Windows","org.eclipse.ui.file.close"
"Utility","Advanced Copy","Ctrl+Shift+C","In Windows","org.jkiss.dbeaver.core.edit.copy.special"
"Text Editing","Text Start","Ctrl+Home","Editing Text","org.eclipse.ui.edit.text.goto.textStart"
"Text Editing","Text End","Ctrl+End","Editing Text","org.eclipse.ui.edit.text.goto.textEnd"
"SQL Editor","Switch active panel","Ctrl+Alt+T","SQL Script Editor Context","org.jkiss.dbeaver.ui.editors.sql.switch.panel"
"Text Editing","Expand All","Ctrl+Numpad_Multiply","Editing Text","org.eclipse.ui.edit.text.folding.expand_all"
"Result Set","Filter by value","Ctrl+F11","Results viewer context","org.jkiss.dbeaver.core.resultset.filterMenu.distinct"
"Result Set","Inline edit","Enter","Results viewer context","org.jkiss.dbeaver.core.resultset.row.edit.inline"
"Text Editing","Zoom In","Ctrl++","Editing Text","org.eclipse.ui.edit.text.zoomIn"
"SQL Editor","Toggle Line Comment","Ctrl+/","SQL Editor Context","org.jkiss.dbeaver.ui.editors.sql.comment.single"
"Edit","Incremental Find Reverse","Ctrl+Shift+J","Editing Text","org.eclipse.ui.edit.findIncrementalReverse"
"Edit","Content Assist","Ctrl+Space","SQL Editor Context","org.eclipse.ui.edit.text.contentAssist.proposals"
"File","Rename","F2","In Windows","org.eclipse.ui.edit.rename"
"Text Editing","Delete Next Word","Ctrl+Delete","Editing Text","org.eclipse.ui.edit.text.deleteNextWord"
"Edit","Context Information","Ctrl+Alt+Space","SQL Editor Context","org.eclipse.ui.edit.text.contentAssist.contextInformation"
"Result Set","Zoom in data grid","Alt+0","Results viewer context","org.jkiss.dbeaver.core.resultset.zoomIn"
"Connection","Open SQL console","Ctrl+Alt+Enter","Database navigator context","org.jkiss.dbeaver.core.sql.editor.console"
"File","Print","Ctrl+P","In Windows","org.eclipse.ui.file.print"
"Text Editing","Select Line End","Shift+End","Editing Text","org.eclipse.ui.edit.text.select.lineEnd"
"Navigate","Show In...","Alt+Shift+W","In Windows","org.eclipse.ui.navigate.showInQuickMenu"
"Text Editing","Scroll Line Up","Ctrl+Up","Editing Text","org.eclipse.ui.edit.text.scroll.lineUp"
"Text Editing","Insert Line Above Current Line","Ctrl+Shift+Enter","Editing Text","org.eclipse.ui.edit.text.smartEnterInverse"
"View","Zoom In","Ctrl+=","In Windows","org.eclipse.gef.zoom_in"
"Edit","Find Previous","Ctrl+Shift+K","In Windows","org.eclipse.ui.edit.findPrevious"
"SQL Editor","Execute SQL in new tab","Ctrl+\","SQL Script Editor Context","org.jkiss.dbeaver.ui.editors.sql.run.statementNew"
"Text Editing","Select Line Start","Shift+Home","Editing Text","org.eclipse.ui.edit.text.select.lineStart"
"Text Editing","Join Lines","Ctrl+Shift+J","SQL Editor Context","org.eclipse.ui.edit.text.join.lines"
"View","Toggle hand tool","Tab","In Windows","org.jkiss.dbeaver.erd.toggleHand"
"Text Editing","Duplicate Lines","Alt+Shift+Up","Editing Text","org.eclipse.ui.edit.text.copyLineUp"
"Text Editing","Zoom In","Ctrl+=","Editing Text","org.eclipse.ui.edit.text.zoomIn"
"Navigate","Expand All","Ctrl+Shift+Numpad_Multiply","In Windows","org.eclipse.ui.navigate.expandAll"
"Result Set","Select column(s)","Ctrl+Alt+C","Results viewer context","org.jkiss.dbeaver.core.resultset.grid.selectColumn"
"Navigate","Forward History","Alt+Right","In Windows","org.eclipse.ui.navigate.forwardHistory"
"Entity Properties","Previous Entity Properties tab","Alt+Shift+Up","In Windows","org.jkiss.dbeaver.entity.propsTab.prevPage"
"Database Navigator","Set as default","Ctrl+Shift+A","In Windows","org.jkiss.dbeaver.core.navigator.set.default"
"Quick Search","Quick Search","Ctrl+Alt+Shift+F","In Windows","org.eclipse.text.quicksearch.commands.quicksearchCommand"
"Edit","Paste","Shift+Insert","In Dialogs and Windows","org.eclipse.ui.edit.paste"
"Window","Next View","Ctrl+F7","In Windows","org.eclipse.ui.window.nextView"
"SQL Editor","Import SQL script","Ctrl+Alt+Shift+O","SQL Editor Context","org.jkiss.dbeaver.ui.editors.sql.open.file"
"Text Editing","Collapse All","Ctrl+Shift+Numpad_Divide","Editing Text","org.eclipse.ui.edit.text.folding.collapse_all"
"SQL Editor","Open Declaration","F4","SQL Script Editor Context","org.jkiss.dbeaver.ui.editors.sql.navigate.object"
"Result Set","Copy from row below","Ctrl+Alt+D","Results viewer context","org.jkiss.dbeaver.core.resultset.row.copy.from.below"
"Help","Show Context Help","F1","In Windows","org.eclipse.ui.help.dynamicHelp"
"Window","Next Editor","Ctrl+F6","In Windows","org.eclipse.ui.window.nextEditor"
"Connection","New SQL script","Ctrl+]","DBeaver Perspective","org.jkiss.dbeaver.core.sql.editor.create"
"Connection","Context tools","Alt+`","In Windows","org.jkiss.dbeaver.ui.tools.menu"
"Result Set","Activate results/panel","Ctrl+Shift+7","Results viewer context","org.jkiss.dbeaver.core.resultset.grid.activatePreview"
"SQL Editor","Execute queries in separate tabs","Ctrl+Alt+Shift+X","SQL Script Editor Context","org.jkiss.dbeaver.ui.editors.sql.run.scriptNew"
"Result Set","Go To Column","Ctrl+Shift+G","Results viewer context","org.jkiss.dbeaver.core.resultset.grid.gotoColumn"
"Window","Previous View","Ctrl+Shift+F7","In Windows","org.eclipse.ui.window.previousView"
"Navigate","Previous Sub-Tab","Alt+PageUp","In Dialogs and Windows","org.eclipse.ui.navigate.previousSubTab"
"Edit","Cut","Ctrl+X","In Dialogs and Windows","org.eclipse.ui.edit.cut"
"Result Set","Reset cell changes","Esc","Results viewer context","org.jkiss.dbeaver.core.resultset.cell.reset"
"SQL Editor","Select all rows","Ctrl+Alt+Shift+A","SQL Script Editor Context","org.jkiss.dbeaver.ui.editors.sql.run.all.rows"
"Result Set","Select row(s)","Ctrl+Alt+R","Results viewer context","org.jkiss.dbeaver.core.resultset.grid.selectRow"
"File","Close","Ctrl+F4","In Windows","org.eclipse.ui.file.close"
"Navigate","Next Tab","Ctrl+PageDown","In Dialogs and Windows","org.eclipse.ui.navigate.nextTab"
"Edit","Quick Fix","Ctrl+1","SQL Editor Context","org.eclipse.jdt.ui.edit.text.java.correction.assist.proposals"
"Utility","Advanced Paste ...","Ctrl+Shift+V","In Windows","org.jkiss.dbeaver.core.edit.paste.special"
"Text Editing","Select Previous Word","Ctrl+Shift+Left","Editing Text","org.eclipse.ui.edit.text.select.wordPrevious"
"Connection","New SQL script","Ctrl+F3","DBeaver Perspective","org.jkiss.dbeaver.core.sql.editor.create"
"Window","Previous Editor","Ctrl+Shift+F6","In Windows","org.eclipse.ui.window.previousEditor"
"SQL Editor","Toggle Word Wrap","Ctrl+Alt+Shift+W","SQL Editor Context","org.jkiss.dbeaver.ui.editors.sql.word.wrap"
"Views","Show View (History)","Alt+Shift+Q, Z","In Windows","org.eclipse.ui.views.showView"
"Text Editing","Reset Structure","Ctrl+Shift+Numpad_Multiply","Editing Text","org.eclipse.ui.edit.text.folding.restore"
"SQL Editor","Pin/unpin","Ctrl+Shift+P","SQL Script Editor Context","org.jkiss.dbeaver.ui.editors.sql.toggle.pinned.tab"
"Connection","Commit","Ctrl+Alt+Shift+K","In Windows","org.jkiss.dbeaver.core.commit"
"Text Editing","Move Lines Down","Alt+Down","SQL Editor Context","org.eclipse.ui.edit.text.moveLineDown"
"Window","Maximize Active View or Editor","Ctrl+M","In Windows","org.eclipse.ui.window.maximizePart"
"Window","Quick Switch Editor","Ctrl+E","In Windows","org.eclipse.ui.window.openEditorDropDown"
"Database Navigator","Edit task","Enter","In Windows","org.jkiss.dbeaver.task.edit"
"File","New menu","Alt+Shift+N","In Windows","org.eclipse.ui.file.newQuickMenu"
"Text Editing","Join Lines","Ctrl+Alt+J","Editing Text","org.eclipse.ui.edit.text.join.lines"
"Text Editing","Add all matches to multi-selection","Ctrl+Shift+L","Editing Text","org.eclipse.ui.edit.text.select.addAllMatchesToMultiSelection"
"Text Editing","Multi caret down","Ctrl+Alt+Down","Editing Text","org.eclipse.ui.edit.text.select.multiCaretDown"
"File","Close All","Ctrl+Shift+F4","In Windows","org.eclipse.ui.file.closeAll"
"Text Editing","Select Next Word","Ctrl+Shift+Right","Editing Text","org.eclipse.ui.edit.text.select.wordNext"
"Text Editing","Delete Previous Word","Ctrl+Backspace","Editing Text","org.eclipse.ui.edit.text.deletePreviousWord"
"Text Editing","Move Lines Down","Alt+Down","Editing Text","org.eclipse.ui.edit.text.moveLineDown"
"Edit","Word Completion","Ctrl+Shift+Space","SQL Editor Context","org.eclipse.ui.edit.text.hippieCompletion"
"Result Set","Zoom out data grid","Alt+9","Results viewer context","org.jkiss.dbeaver.core.resultset.zoomOut"
"Text Editing","Collapse","Ctrl+Numpad_Subtract","Editing Text","org.eclipse.ui.edit.text.folding.collapse"
"File","New","Ctrl+N","In Windows","org.eclipse.ui.newWizard"
"Views","Show View (Synchronize)","Alt+Shift+Q, Y","In Windows","org.eclipse.ui.views.showView"
"Text Editing","Previous Word","Ctrl+Left","Editing Text","org.eclipse.ui.edit.text.goto.wordPrevious"
"Views","Show View (Error Log)","Alt+Shift+Q, L","In Windows","org.eclipse.ui.views.showView"
"Database Navigator","Add Bookmark","Ctrl+Alt+Shift+D","In Windows","org.jkiss.dbeaver.core.navigator.bookmark.add"
"SQL Editor","Content Format","Ctrl+Shift+F","In Windows","org.jkiss.dbeaver.ui.editors.text.content.format"
"Navigate","Previous","Ctrl+,","In Windows","org.eclipse.ui.navigate.previous"
"Result Set","Go To Row","Ctrl+G","Results viewer context","org.jkiss.dbeaver.core.resultset.grid.gotoRow"
"Views","Show View (Search)","Alt+Shift+Q, S","In Windows","org.eclipse.ui.views.showView"
"SQL Editor","Rename SQL Script","Ctrl+F2","SQL Script Editor Context","org.jkiss.dbeaver.ui.editors.sql.rename"
"Text Editing","Toggle Folding","Ctrl+Numpad_Divide","Editing Text","org.eclipse.ui.edit.text.folding.toggle"
"Window","Next Perspective","Ctrl+F8","In Windows","org.eclipse.ui.window.nextPerspective"
"Result Set","First row","Ctrl+Alt+Shift+Left","Results viewer context","org.jkiss.dbeaver.core.resultset.row.first"
"Result Set","Toggle result panels","F7","Results viewer context","org.jkiss.dbeaver.core.resultset.grid.togglePreview"
"Text Editing","Multi selection down relative to anchor selection  ","Ctrl+D","Editing Text","org.eclipse.ui.edit.text.select.selectMultiSelectionDown"
"Result Set","Toggle Grid/Record view","Tab","Results viewer context","org.jkiss.dbeaver.core.resultset.toggleMode"
"SQL Editor","Select to the matching bracket","Ctrl+Shift+]","SQL Editor Context","org.jkiss.dbeaver.ui.editors.sql.selectToMatchingBracket"
"File","Close All","Ctrl+Shift+W","In Windows","org.eclipse.ui.file.closeAll"
"Views","Show View (Outline)","Alt+Shift+Q, O","In Windows","org.eclipse.ui.views.showView"
